List of files ,Subject
62-C/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT (A) -V
62-D/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT (A) -VI
62-E/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT (A) LTU
62-F/2019-20/Pr.CCIT/Tech,APPROVAL U/S -MISC.CORRESPONDENCE
62-G/2019-20/Pr.CCIT/Tech,APPELLATE ORDERS CIT (A) -IV
63/2019-20/Pr.CCIT/Tech,Approval u/s 34AB(case wise)
63-A/2019-20/Pr.CCIT/Tech,Certificate of Registration of ITPs RECD. FROM OTHER OFFICES
63-B/2019-20/Pr.CCIT/Tech,Board's circular on Double Taxation Avoidance Agreement 
64/2019-20/Pr.CCIT/Tech,Double Taxation Avoidance Agreement Correspondences
64C/2019-20/Pr.CCIT/Tech,COLLATION AND DISSEMINATION OF INFORMATION RECEIVED FROM INDONESIA AUTHORITIES
64D/2019-20/Pr.CCIT/Tech,COLLATION AND DISSEMINATION OF INFORMATION RECEIVED FROM AUSTRALIA TAX AUTHORITIES
64-A/2019-20/Pr.CCIT/Tech,List of Companies who have applied for Struck off under Easy Exit Scheme
65/2019-20/Pr.CCIT/Tech,Employees Stock Option Plan(ESOP)
65-A/2019-20/Pr.CCIT/Tech,CIT(A) matters Misc.Tiwari committee
66/2019-20/Pr.CCIT/Tech,CIT(A) matters general correspondence
66(1)/2019-20/Pr.CCIT/Tech,"Information relating to pendency & Disposal of appeal(CIT-I, II & TDS(A))"
66AA/2019-20/Pr.CCIT/Tech,"DIRECT TAX DISPUTE RESOLUTION SCHEME, 2016"
66-A/2019-20/Pr.CCIT/Tech,Information relating to pendency & Disposal of appeal(Others)
66-AB/2019-20/Pr.CCIT/Tech,CORRESPONDENCE RELATING TO APPEALS MATTERS WITH CIT(A)-I
66-B/2019-20/Pr.CCIT/Tech,Monthly disposal report(CCA)
66-C/2019-20/Pr.CCIT/Tech,Fortnightly Appeal Report
66-D/2019-20/Pr.CCIT/Tech,Monthly Telegraphic Report
66-E/2019-20/Pr.CCIT/Tech,Central Action Plan for disposal of Appeals(Basket Report)
66-F/2019-20/Pr.CCIT/Tech,Review of Performance of CIT(A)-I - Quarterly & Half yearly 
66-G/2019-20/Pr.CCIT/Tech,Review of performance of CIT(A)-II - Quarterly & Half yearly 
66-H/2019-20/Pr.CCIT/Tech,Quarterly reports on agewise pendency of Appeals
66-I/2019-20/Pr.CCIT/Tech,Monthly report on pendency of High Demand & Non - HD Appeals (7 coloumn report)
